3000000;Servizi Italia S.p.A.;Castellina PR;Via S. Pietro 59
3000001;Gruppo Ceramiche Gresmalt S.p.A.;Sassuolo;Via Mosca 38
3000002;eOne;Reggio Emilia;Via della Previdenza Sociale  13
3000003;Ceramiche Ascot S.p.A.;Solignano di Castelvetro;Via Croce 80
3000004;Barbieri S.R.L.;Reggio Emilia;Via Alfred Bernhard Nobel 88
3000005;PAR.CO S.p.A.;Scarperia;Via della Resistenza 30/34
3000006;Heidelberg Italia  S.r.L.;Ospiate di Bollate;Via Trento 16
3000007;Bayker Italia S.p.A.;Fiorano Modenese;Via Ghiarola Nuova 84
3000008;East Balt Italia S.R.L.;Bomporto;Via Aldo Moro 25
3000009;Ghigi Industria Agroalimentare;San Clemente;Via G. Falcone 188
3000010;Kale Italia S.R.L.;Fiorano Modenese;Via Viazza il Tronco 45
3000011;Savoia Italia S.p.A.;Fiorano Modenese;Via Ghiarola Nuova 77
3000012;Filicori;Castel San Pietro Terme;Via Lombardia 55
3000013;Forte S.R.L.;Altamura;Via Vecchia Bovio
3000014;SAF;Ferrara;Viale Po 88
3000015;Exterran Italy;Mantova;Via Taliercio 1
3000016;Bonfiglioli Riduttori S.p.A.;Lippo di Calderara;Via Giovanni XXII 7/A
3000017;CID S.p.A.;Saluggia;Strada per Crescentino
3000018;Colomer Italy;Sala Bolognese;Via Zaccarelli 5/7
3000019;Costa d'Oro S.p.A.;Spoleto;Via Crispino Merini 1
3000020;C.P.A. S.R.L.;Beinasco;Via San Felice 33
3000021;Dieci;Montecchio Emilia;Via E.Majorana 2/4
3000022;Elettric80;Viano;Via G. Marconi 33
3000023;Gamma Meccanica S.p.A.;Bibbiano;Via Sacco e Vanzetti 13
3000024;Gruppo Concorde S.p.A.;Fiorano Modenese;Via Canaletto 141
3000025;Kerakoll S.p.A.;Sassuolo;Via dell'artigianato 9
3000026;Marche Multiservizi S.p.A.;Pesaro;Via dei Canonici 144
3000027;Ceramiche Moma S.p.A.;Finale Emilia;Via Panaria Bassa 17/A
3000028;Panaria Group;Finale emilia;Via Panaria Bassa 22/A
3000029;Profiltubi S.p.A.;Reggiolo;Viale Grandi 7/9
3000030;Sauer Danfoss;Reggio Emilia;Via G. Rinaldi 111
3000031;Seieffe;Roma;Via Federico cesi 44
3000032;Seves S.p.A.;Firenze;Via R. Giuliani 360
3000033;Sovigest S.p.A.;Roma;Via F. De Lucia 15
3000034;Herberia S.p.A.;Rubiera;Via Enrico Mattei 21
3000035;LavSim Higienizacao Textil SA;San Roque;Rodovia Raposo Tavarez KM 58,2
3000036;Kemon S.p.A.;San Giustino;Via Mattei 35
3000037;KPMG Business Advisory Services;Milano;Via Vittor Pisani 27
3000038;Innorg S.R.L.;Grugliasco;Via Primo Levi 13
3000039;All in Team;Roma;viale dei Paioli 54
3000040;CapGemini Italia S.p.A.;Roma;Via di Torre Spaccata 140
3000041;Iren S.p.A.;Reggio Emilia;Via Nubi di Magellano 30
3000042;Abletech;Madonnina;Via dell'Artigianato 9
3000043;L'Abbondanza;Città di Castello;Via Vocabolo Cinquemiglia 47
3000044;Tauring S.p.A.;Leini;Via Lombardone 314
3000045;BGP;Milano;
3000046;Bianchi 1770 S.p.A.;Conegliano;Via Camillo Bianchi 2
3000047;Bisazza;Montecchio;Viale Milano 56
3000049;Eredi Scabini S.R.L.;Siziano;Via Brallo 2
3000050;FinOne S.R.L.;Reggio Emilia;Via della Previdenza Sociale 13
3000051;IctOne S.R.L.;Reggio Emilia;Via della Previdenza Sociale 13
3000052;Lavanderia Industriale Z.B.M.;Arco;Via Linfano 6
3000053;Polo di Sterilizzazione Integrata;Padova;Via Progresso 11
3000054;San Martino 2000;Genova;Via al Molo Vecchio Calata G
3000055;SE.SA.TRE.;Genova;Via al Molo Vecchio Calata G
3000056;SE.STE.RO. S.R.L.;Soragna;Via San Pietro 59/B
3000057;Servizi Italia Medicals S.p.A.;Caleppio;Via B. Buozzi 5
3000058;Goldenlady Company S.p.A.;Castiglione delle Stiviere;Via G. Leopardi 3/5
3000059;Industrie Pica S.p.A.;Pesaro;Strada Montefeltro 83
3000060;SAP Italia S.p.A.;Vimercate;Via Energy Park 7/A
3000061;Siav S.p.A.;Rubano;Via Rossi 5/N
3000062;APT Servizi S.R.L.;Bologna;Viale Aldo Moro 62
3000064;Mc-Link S.p.A.;Roma;Via Carlo Perner 9/A
3000065;Neos Sistemi S.R.L.;Brescia;Via Tadini 47
3000066;SWM S.p.A.;Rubiera;Via Mantegna 6
3000067;Synergy S.R.L.;Carpi;Via delle Mondine 8
3000068;Evolution Prox S.R.L.;Torino;Strada del Drosso 49
3000069;T.R.S. S.p.A.;Roma;Via della Bufalotta 378
3000070;Travi Sud S.p.A.;Bonea;Via Campolongo
3000075;Acqua Minerale San Benedetto Spa;Scorzè;Viale Kennedy 65
3000076;Annovi e Reverberi Spa;Modena;
3000079;Busitalia - Sita Nord SRL;Firenze;
3000080;Caprari SPA;Modena;
3000081;BV Servizi Srl;Montebello Vicentin;
3000082;Caterpillar Servizi Italia Srl;Minerbio;
3000083;Cavalli Spa;Milano;
3000084;CCPL Scrl Consorzio Cooperativo;Reggio Emilia;Via M.K. Gandhi 8
3000085;Cefla Scrl;Imola;
3000086;Cisa Spa;Faenza;
3000087;Conad Adriatico Scarl;MONSAMPOLO DEL TRONTO;
3000088;CONSTA Spa;Padova;
3000089;COOP ADRIATICA S.c.a.r.l.;Villanova di Castenaso;
3000090;Cooperativa Ceramica d'Imola Sc;Imola;
3000091;DI.TECH Spa;Bologna;
3000092;Ducati Motor Holding Spa;Bologna;
3000093;ENAPRA;Roma;
3000094;EPTA Spa;Milano;
3000095;FERRETTI Spa;Cattolica;
3000096;Fingen Spa;Sesto Fiorentino;Via Provinciale Lucchese 181
3000097;Fiorentini Pietro Spa;Arcugnano;
3000098;Finfloor Spa;Fiorano Modenese;
3000099;Florim Ceramiche Spa a Socio Unico;Fiorano Modenese;
3000100;Fruttagel Scpa;Alfonsine (RA);
3000101;GESCO - Consorzio Cooperativo Arl;San Vittore di Cesena;Via del Rio 400
3000102;Grandi Salunifici Italiani Spa;Modena;
3000103;Gruppo Ceramiche Ricchetti Spa;Modena;
3000104;Gruppo Pam Spa;Spinea;
3000105;Huber Italia Spa;Zona Industriale VI;via Antonio Meucci 6
3000106;H.P.S. Spa;Imola;
3000107;Illy Caffé Spa;Trieste;Via Flavia 110
3000108;Imola Legno Spa;Imola;Via Don Luigi Sturzo 10
3000109;INSO Spa;Firenze;Via G. del Pian De Caprini, 1
3000110;Lamp San Prospero Spa;San Prospero s/Secchia (MO);
3000111;La Gardenia Beauty Spa - LLG;Milano;
3000112;Lonati Spa;Brescia;
3000113;Officine Maccaferri Spa;Zola Predosa;Via Kennedy 10
3000114;Piaggio & C. Spa;Pontedera;
3000115;Philips Spa;Monza;
3000116;Piteco Spa;Milano;
3000117;Sacmi Imola Scarl;Imola;Via Selice Provinciale 7/A
3000118;Philips Saeco Spa;Gaggio Montano;Via Panigali 39
3000119;Sammontana Srl;Empoli;
3000120;SCM Group Spa;Rimini;
3000121;Sofidel Spa;Porcari;
3000122;Sogefin Spa;MONSAMPOLO DEL TRONTO;
3000124;Starhotels Spa;Firenze;Via Belfiore 27
3000125;TCA Spa;Capolona;
3000126;Unicoop Tirreno Soc. Coop.va SC;VIGNALE RIOTORTO;
3000127;Unigra Srl;Conselice;
3000128;Warnaco Italy Srl;SESTO FIORENTINO;
3000129;Studio Sassi Medici Baroncini;Reggio emilia;via Emilia Ospizio 12
3000130;Keyline 1770;Conegliano;
3000132;Spal Automotive Srl;Coreggio;Via per Carpi 26/B
3000133;Mercatone Uno Services Srl;Imola;
3000134;Berco Spa;Copparo;Via I Maggio 237
3000135;Costan Spa;Limana;
3000136;Padova Star Spa;Limena;
3000137;Red Graniti Spa;Massa;
3000138;TPER Spa;Roma;
3000139;Gucci Luxembourg SA, Lussemburgo;CADEMPINO;
3000140;Unigrana Spa;Modena;
3000141;Teuco Guzzini Spa;Montelupone;
3000142;Marposs Spa;BENTIVOGLIO;
3000143;Banfi Srl;Montalcino;Castello di Poggio alle Mura
3000144;CONSORZIO BU;Padova;Via Sorio 120
3000145;ARUBA Spa;Bibbiena;Località Palazzetto 4
3000146;Sorgent.e Management Srl;Padova;Via Sorio 120
3000147;ABK Group;Finale Emilia;via San Lorenzo 24/A
3000148;ESTRA;Prato;
3000149;--;;
3000150;Pompea SpA;Medole;Via San Damaso 10
3000151;F.A.OR Spa;Arezzo;Via del Maspino 2
3000152;Viaggi e Turismo Marozzi Srl;Bari;Via B. Buozzi 36
3000153;Beltos S.r.l.;Pisa;Via Capiteta 22
3000154;ABOCA;Sansepolcro;via Frazione Aboca 20
3000155;MAXLAV LAVANDERIA ESPECIALIZADA S.A;Distrito Industrial, Jaguariuna;Rua Vigato 520
3000156;ARISTON THERMO s.p.a.;Milano;via Broletto
3000157;SERUM SPA;Cazzago San Martino (BS);Via Dei Patrioti 33
3000158;DELPA;Brandizzo;via Cena 65
3000159;EREDI SCABINI;Siziano;
3000160;Fruttagel S.C.P.A.;Alfonsine (RA);Via Nullo Baldini, 26
3000161;CARLE & MONTANARI-OPM S.p.A.;Rozzano (MI);Via Trebbia 22
3000162;Parmareggio sPA;Modena;Via Polonia 30-33
3000163;Sacmi Verona Spa;Mozzecane (VR);Via dell'Industria 2/a
3000164;FORALL CONFEZIONI SPA;Quinto Vicentino;Via Fabio Filzi 34
3000165;--;italia;
3000169;ACANTHO;Imola;via Molino Rosso 8
3000174;NUOVO PIGNONE SPA;Firenze;Via Matteucci 2
3000175;CYCLOP SRL;Locate di Triulzi (MI);Via Rosa Luxembourg 17/19
3000176;Arquati Service Srl;Sala Baganza (PR);Via San Vitale 3
3000177;BOSCH SPA;Milano;
3000178;OCME SRL;Parma;Via del Popolo 20/A
3000179;FLORIDA TILE;Finale emilia;
3000180;ENERFIN SpA;Reggio Emilia;Viale Gramsci 104
3000181;AIVE;Roma;
3000182;APT;Rmini;P le. Fellini 3
3000183;ARGENTA;Lodi;Viale Milano 7/A
3000184;CAPRARI;Modena;Emilia Ovest 900
3000185;Wafa;;
3000186;CPA;Bruino;Cruto 17/19
3000187;FLORIM;Fiorano modenese;Canaletto 24
